,mean,sd,CV,Density,Norm,ASVOTU
Shannon,1.6765,0.7145,43,High,Rarefaction,ASV
Chao1,43.4769,25.5625,59,High,Rarefaction,ASV
Pielou,0.4567,0.1505,33,High,Rarefaction,ASV
Beta_compare,23.9118,6.6086,28,High,Rarefaction,ASV
Shannon1,1.5112,0.713,47,Medium,Rarefaction,ASV
Chao11,44.1302,23.7654,54,Medium,Rarefaction,ASV
Pielou1,0.4072,0.1541,38,Medium,Rarefaction,ASV
Beta_compare1,23.0312,6.9326,30,Medium,Rarefaction,ASV
Shannon2,1.4102,0.7301,52,Low,Rarefaction,ASV
Chao12,36.1466,21.4129,59,Low,Rarefaction,ASV
Pielou2,0.4025,0.1847,46,Low,Rarefaction,ASV
Beta_compare2,22.1031,6.754,31,Low,Rarefaction,ASV
Shannon3,3.5044,0.7529,21,High,CLR,ASV
Chao13,44.62,26.1498,59,High,CLR,ASV
Pielou3,0.9785,0.0149,2,High,CLR,ASV
Beta_compare3,39.4944,9.37,24,High,CLR,ASV
Shannon4,3.57,0.6108,17,Medium,CLR,ASV
Chao14,44.75,23.7437,53,Medium,CLR,ASV
Pielou4,0.9787,0.0096,1,Medium,CLR,ASV
Beta_compare4,38.6014,9.4477,24,Medium,CLR,ASV
Shannon5,3.3748,0.6258,19,Low,CLR,ASV
Chao15,37.04,21.5636,58,Low,CLR,ASV
Pielou5,0.982,0.0082,1,Low,CLR,ASV
Beta_compare5,38.1368,9.5829,25,Low,CLR,ASV
Shannon6,1.3826,0.6658,48,High,Rarefaction,OTU
Chao16,36.9168,23.7941,64,High,Rarefaction,OTU
Pielou6,0.3961,0.1544,39,High,Rarefaction,OTU
Beta_compare6,21.0077,5.8063,28,High,Rarefaction,OTU
Shannon7,1.252,0.7137,57,Medium,Rarefaction,OTU
Chao17,39.9587,25.3173,63,Medium,Rarefaction,OTU
Pielou7,0.3472,0.1607,46,Medium,Rarefaction,OTU
Beta_compare7,20.4866,6.89,34,Medium,Rarefaction,OTU
Shannon8,1.1993,0.6856,57,Low,Rarefaction,OTU
Chao18,36.2095,22.7611,63,Low,Rarefaction,OTU
Pielou8,0.3441,0.175,51,Low,Rarefaction,OTU
Beta_compare8,20.5816,6.4514,31,Low,Rarefaction,OTU
Shannon9,3.3253,0.754,23,High,CLR,OTU
Chao19,38.04,24.2483,64,High,CLR,OTU
Pielou9,0.9754,0.013,1,High,CLR,OTU
Beta_compare9,35.1006,8.3064,24,High,CLR,OTU
Shannon10,3.4407,0.662,19,Medium,CLR,OTU
Chao110,40.82,24.9352,61,Medium,CLR,OTU
Pielou10,0.9758,0.013,1,Medium,CLR,OTU
Beta_compare10,35.0069,9.5909,27,Medium,CLR,OTU
Shannon11,3.3602,0.6457,19,Low,CLR,OTU
Chao111,37.1,23.1968,63,Low,CLR,OTU
Pielou11,0.9814,0.0085,1,Low,CLR,OTU
Beta_compare11,36.5085,9.2754,25,Low,CLR,OTU
