,mean,sd,CV,ASVOTU,Depth
Shannon,1.531,0.7274,48,ASV,Rare-10
Chao1,40.3328,23.7422,59,ASV,Rare-10
Pielou,0.4263,0.1664,39,ASV,Rare-10
Beta_compare,18.8625,4.9377,26,ASV,Rare-10
Shannon1,1.5337,0.7277,47,ASV,Rare-30
Chao11,41.5014,23.891,58,ASV,Rare-30
Pielou1,0.4209,0.1654,39,ASV,Rare-30
Beta_compare1,23.8791,6.2236,26,ASV,Rare-30
Shannon2,1.5332,0.7277,47,ASV,Rare-50
Chao12,41.9196,24.0904,57,ASV,Rare-50
Pielou2,0.4191,0.1652,39,ASV,Rare-50
Beta_compare2,26.3046,6.8536,26,ASV,Rare-50
Shannon3,1.278,0.6928,54,OTU,Rare-10
Chao13,36.8149,23.9831,65,OTU,Rare-10
Pielou3,0.3669,0.1661,45,OTU,Rare-10
Beta_compare3,16.9156,4.6979,28,OTU,Rare-10
Shannon4,1.2776,0.6929,54,OTU,Rare-30
Chao14,37.9569,24.0737,63,OTU,Rare-30
Pielou4,0.3612,0.165,46,OTU,Rare-30
Beta_compare4,21.4591,5.8943,27,OTU,Rare-30
Shannon5,1.2783,0.6932,54,OTU,Rare-50
Chao15,38.313,24.0247,63,OTU,Rare-50
Pielou5,0.3593,0.1648,46,OTU,Rare-50
Beta_compare5,23.7012,6.4933,27,OTU,Rare-50
