"","OTUID","mean_abundance","sd_abundance"
"144"," g__Streptococcus",0.352890656970828,0.342745575042907
"4"," g__Acinetobacter",0.111474643442128,0.236809208433942
"72"," g__Lactococcus",0.104478628436618,0.242605875934027
"117"," g__Pseudomonas",0.0563562630829322,0.172458132312831
"127"," g__Rothia",0.0407148889166852,0.127776128292242
"219","k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_g__",0.0324384873696335,0.118106777769682
"81"," g__Macrococcus",0.0233311674376107,0.106286655423446
"120"," g__Psychrobacter",0.0230518925787085,0.0983641733526837
"71"," g__Lactobacillus",0.02141921032644,0.0509046302481218
"69"," g__Kocuria",0.0170581437187047,0.0581210603907067
